n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,k
309,10,47.54458558672561,26.16906449133444,451.17853612405634,0.38886903715061605,148,0.8636583013060913,6,0.5336699231206307
271,2,32.927644021041154,16.1355420036125,244.21627986243948,0.3688111382536251,103,0.7729523283052464,7,0.5336699231206307
316,4,46.93028321591555,26.32079986836743,350.81224490011755,0.40001745765938057,154,0.8872710047644391,8,0.5336699231206307
327,5,56.71550525209788,37.58508911842455,343.1900354769598,0.46018607908565456,182,0.8777241680590382,9,0.5336699231206307
313,6,59.164231606728706,31.969544033515604,437.2375121825662,0.4251050187064638,162,0.8581294836824485,10,0.5336699231206307
316,2,33.23843084136753,18.21135282766727,242.42672202316407,0.39792015706180706,123,0.8467158627147096,11,0.5336699231206307
303,15,45.85407099842642,20.97996710104144,402.773992114724,0.33829304272777877,134,0.8451738728064719,12,0.5336699231206307
311,7,43.574965398644814,22.345322283213818,371.2725213668241,0.3834219398789269,139,0.8423122325374284,13,0.5336699231206307
290,0,46.44706126560911,24.694307261133645,347.6280566613377,0.3953379350967262,133,0.8315276789816379,14,0.5336699231206307
331,5,63.441964843548085,50.62484345810026,355.32913186989435,0.5147346639619934,203,0.87821129992213,0,1.0
316,2,67.5922748985167,47.116339381938815,382.7715823036642,0.49261754378362105,190,0.8345540428368099,1,1.0
319,0,73.5261592603126,54.81214511795815,374.2577938739246,0.5211142418979882,212,0.8726846780365554,2,1.0
306,2,49.089793118178804,24.002153777257774,300.65661354075337,0.38780100219146146,135,0.8329978704178675,3,1.0
310,10,91.04131662038664,58.20732980808418,460.2103672162857,0.4790062403578009,195,0.855166451403389,4,1.0
313,0,57.905864049737,39.17731634685629,355.0202151937265,0.45779908052416485,170,0.8637126067808674,5,1.0
310,9,57.96310705466954,40.39294259000053,414.8696078452849,0.4596057717169318,176,0.8897257323320116,6,1.0
271,2,34.07619684813733,17.004445915013093,234.48632330107125,0.35941388405058566,103,0.7757163181943937,7,1.0
317,3,42.129934736948094,19.78925067562659,293.40434545490825,0.36152138575674275,131,0.8698848645297992,8,1.0
327,5,56.770267529492536,36.34895749227189,342.6233956525548,0.48017401370167956,185,0.8858896483986184,9,1.0
313,6,63.1055549802433,37.00694689368083,361.0696137086752,0.44724646429630127,173,0.8725780732087001,10,1.0
316,2,34.74597977181985,18.315118788064638,310.98644011333454,0.3812584074453045,118,0.8472714328274765,11,1.0
305,13,51.53079890092473,23.646739897065117,393.37966645207825,0.3524025710431764,144,0.8541833988175866,12,1.0
309,9,43.23249674204343,22.028179793387608,337.1770104056777,0.3704372344505713,137,0.8414444618201684,13,1.0
289,1,45.54216872333748,25.719189908680164,374.4678535332523,0.36702740318565313,127,0.8283624891427721,14,1.0
