n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,arrival_rate,load_factor,strategy
169,0,6.328176936461764,0.0,65.56116885085385,0.2000363288693773,14,0.4488217259764882,13,1.5,0.5220828154861754,SOC-Aware+Aging
143,0,12.196049880513742,0.0,125.073786939397,0.19122095267591213,21,0.40579237537568646,14,1.5,0.5220828154861754,SOC-Aware+Aging
218,0,14.694227662504153,0.0,117.51536333804506,0.2787646133401393,49,0.6854240832173575,0,2.0,0.6961104206482338,FCFS
195,2,15.235712264959739,0.0,122.44797981414285,0.22636856302700284,39,0.6047404098168323,1,2.0,0.6961104206482338,FCFS
233,0,19.294213315128076,1.5346288199552873,142.4195583398755,0.3290014725631934,63,0.776883675853798,2,2.0,0.6961104206482338,FCFS
218,0,16.809017157800913,0.0,145.2583393285131,0.21005753665821755,43,0.6790491714028961,3,2.0,0.6961104206482338,FCFS
208,0,9.953552387622683,0.0,80.64834391103682,0.24540883414993955,27,0.6257740294327464,4,2.0,0.6961104206482338,FCFS
214,1,17.135766674746225,0.0,112.826595946814,0.27069245779157997,46,0.7067603012756283,5,2.0,0.6961104206482338,FCFS
211,0,14.482811949405496,0.0,95.49182464040587,0.30497446687627927,45,0.7098021112881033,6,2.0,0.6961104206482338,FCFS
188,0,10.619188750528586,0.0,91.38832832286334,0.23116521839453413,32,0.6203219817429403,7,2.0,0.6961104206482338,FCFS
222,0,14.763000143647984,0.0,120.39421737182897,0.2360978357650383,44,0.6763001855370157,8,2.0,0.6961104206482338,FCFS
232,2,16.474067662585515,0.2819354237998368,98.05557361092815,0.3176288074615457,57,0.7473212325313876,9,2.0,0.6961104206482338,FCFS
216,0,20.164250516465852,3.6258570330334123,111.61666783057626,0.3630126687307135,68,0.6845519163597354,10,2.0,0.6961104206482338,FCFS
216,0,12.175561428706938,0.0,89.31700359469778,0.23403426324420712,38,0.6688850891733211,11,2.0,0.6961104206482338,FCFS
213,0,33.77797706298148,0.0,255.19727297243526,0.23920534939981516,62,0.7010677804085421,12,2.0,0.6961104206482338,FCFS
218,0,15.240185058245432,0.0,133.90918120352717,0.2957321053797571,52,0.6904057679742165,13,2.0,0.6961104206482338,FCFS
199,0,24.22083820910945,0.0,163.32072579316173,0.27881773635382273,56,0.6660944069479201,14,2.0,0.6961104206482338,FCFS
218,0,12.857657630071124,0.0,101.27619537650116,0.2914132156564397,39,0.563342848759524,0,2.0,0.6961104206482338,SRPT
197,0,15.269459412826626,0.0,173.58647101239467,0.277689446678539,37,0.505597383523947,1,2.0,0.6961104206482338,SRPT
233,0,11.81949735861281,0.0,181.15646816987737,0.2257560951393616,39,0.6217551078008348,2,2.0,0.6961104206482338,SRPT
218,0,13.823915162694698,0.0,155.84686727293,0.23247718500779888,35,0.558833848761717,3,2.0,0.6961104206482338,SRPT
208,0,8.243188886025582,0.0,80.35131010633404,0.24257738846379953,20,0.5239726715179297,4,2.0,0.6961104206482338,SRPT
214,1,10.95884120743842,0.0,134.74646469603613,0.23607583009260633,33,0.566376228347482,5,2.0,0.6961104206482338,SRPT
211,0,10.450343528883005,0.0,90.38530766149825,0.26874272339427907,27,0.5838817611066729,6,2.0,0.6961104206482338,SRPT
188,0,10.29176656792863,0.0,108.84806712642694,0.23290159873834587,22,0.5239982078499656,7,2.0,0.6961104206482338,SRPT
222,0,12.234788707238426,0.0,111.34146159635861,0.25310358859307314,38,0.5545891246985274,8,2.0,0.6961104206482338,SRPT
233,1,13.283498088903,0.0,137.00016858071513,0.2655525410124605,42,0.6081415290762343,9,2.0,0.6961104206482338,SRPT
216,0,15.788890912494551,4.473053385731873,139.30820508566876,0.31580922657990085,46,0.5658112956957081,10,2.0,0.6961104206482338,SRPT
215,1,10.672003702655566,0.0,85.43270172030134,0.2574231921411741,35,0.5516372041571777,11,2.0,0.6961104206482338,SRPT
213,0,20.323717735861216,0.0,175.429270353211,0.2788623692095634,56,0.5869058736465391,12,2.0,0.6961104206482338,SRPT
218,0,12.731641670477481,0.0,81.802545466526,0.30488631213901446,40,0.5693246040313928,13,2.0,0.6961104206482338,SRPT
199,0,19.788843651967227,0.0,189.71686315009538,0.19887859702286395,41,0.5362551100821351,14,2.0,0.6961104206482338,SRPT
218,0,12.635169723911828,0.5691088285152546,98.50446254934104,0.3162059079659798,40,0.5927163106828858,0,2.0,0.6961104206482338,SOC-Aware+Aging
197,0,16.073242866747297,0.0,95.35217998404187,0.3194713608070633,47,0.5362223411613601,1,2.0,0.6961104206482338,SOC-Aware+Aging
233,0,9.678837112674783,0.0,72.25174615690139,0.2661781548785304,34,0.6276852977153431,2,2.0,0.6961104206482338,SOC-Aware+Aging
218,0,15.004840104824904,0.0,117.05251889200508,0.26976755944382746,42,0.5811120641884839,3,2.0,0.6961104206482338,SOC-Aware+Aging
208,0,7.294379724529661,0.0,55.31762587489948,0.26343030836478626,13,0.5359464501092531,4,2.0,0.6961104206482338,SOC-Aware+Aging
214,1,11.39306467764304,0.0,95.78491185272742,0.29300814973090544,33,0.5968937686409097,5,2.0,0.6961104206482338,SOC-Aware+Aging
211,0,11.393645241453182,0.0,84.38495364445544,0.30812537632640136,31,0.6066677337377975,6,2.0,0.6961104206482338,SOC-Aware+Aging
188,0,10.027446991241593,0.0,78.7762979146346,0.23220064921287464,24,0.5286821965382053,7,2.0,0.6961104206482338,SOC-Aware+Aging
222,0,14.395760225812776,0.0,110.97876267429024,0.26276501526149876,41,0.5697524560716827,8,2.0,0.6961104206482338,SOC-Aware+Aging
233,1,13.408909243767075,1.5931233562369016,75.10572165900976,0.32030938540916937,43,0.6437446221951129,9,2.0,0.6961104206482338,SOC-Aware+Aging
216,0,24.77709317700017,5.562036259125762,177.03902101259837,0.2902503100455116,61,0.5963510914057102,10,2.0,0.6961104206482338,SOC-Aware+Aging
215,1,9.706038880012704,0.0,70.99976890187554,0.24620086662423338,27,0.5705224025979073,11,2.0,0.6961104206482338,SOC-Aware+Aging
213,0,28.502808017847347,8.697392587767354,182.47587596487574,0.32745559958828524,67,0.6346400255021555,12,2.0,0.6961104206482338,SOC-Aware+Aging
218,0,12.000852583722555,0.0,75.96647942697973,0.31841824555924203,36,0.5974844816508761,13,2.0,0.6961104206482338,SOC-Aware+Aging
199,0,33.74884980593311,0.0,247.7155049466719,0.23900502458976963,59,0.5784851754055809,14,2.0,0.6961104206482338,SOC-Aware+Aging
258,0,36.24010524535928,16.06547605409719,175.92965149861993,0.41157115575080044,108,0.7816755706858403,0,2.3,0.8005269837454688,FCFS
237,6,45.86629832527016,23.518809342583154,206.84176434775964,0.41248364310360486,107,0.7501289922321762,1,2.3,0.8005269837454688,FCFS
264,0,60.21997857592079,46.5746299248251,254.93331205191998,0.5265008893606182,153,0.8665024808926017,2,2.3,0.8005269837454688,FCFS
247,0,32.36276003120036,0.4732481072687733,207.85369628433773,0.29245688676059844,76,0.761099522607398,3,2.3,0.8005269837454688,FCFS
248,6,46.84961964383698,19.48753590914373,288.19629720190824,0.3503903849307286,107,0.7642185930769981,4,2.3,0.8005269837454688,FCFS
257,0,47.872425547947216,24.79076183367306,241.67432817368808,0.4132883765897112,123,0.8266119900851259,5,2.3,0.8005269837454688,FCFS
242,0,26.992806487232293,9.92741973336922,147.47143804659936,0.37933712631167793,89,0.7839331481958222,6,2.3,0.8005269837454688,FCFS
207,0,20.459818901835096,0.0,114.29028885023854,0.33009196976490196,60,0.690735095119359,7,2.3,0.8005269837454688,FCFS
247,2,32.32071580668184,2.596556073294778,216.60506274204545,0.2982898598053217,78,0.7848230934030486,8,2.3,0.8005269837454688,FCFS
264,0,30.56743750542709,16.88665222255372,138.1707781840887,0.4317432468327786,106,0.8100331158747331,9,2.3,0.8005269837454688,FCFS
248,1,36.08735688192239,12.732915730524837,205.65077481085427,0.36425360445427013,100,0.7795409768054653,10,2.3,0.8005269837454688,FCFS
247,0,20.193426628204254,0.5272758476967283,99.04070190022776,0.34871771326202244,72,0.7730075907668305,11,2.3,0.8005269837454688,FCFS
241,0,38.77502675678786,13.541818259548563,235.9358631411592,0.3114604241926773,84,0.7913806097593482,12,2.3,0.8005269837454688,FCFS
246,2,24.50724295735055,4.690400333412526,142.82011313220482,0.33937897407780776,79,0.7599932087810374,13,2.3,0.8005269837454688,FCFS
230,4,33.67008195457013,5.743735087702589,270.32551991260243,0.27009195055111374,78,0.7521913934726548,14,2.3,0.8005269837454688,FCFS
258,0,21.890972909884955,9.10056379622165,147.3748461349096,0.34343407779996227,71,0.6688569410776537,0,2.3,0.8005269837454688,SRPT
242,1,24.122621791192117,7.846938550323557,179.27154519785927,0.32037199491694457,72,0.6186090127236162,1,2.3,0.8005269837454688,SRPT
264,0,18.50471682542249,5.682916698801364,143.31865868710383,0.3043477170706542,58,0.7213650793066446,2,2.3,0.8005269837454688,SRPT
